Platform type,Base,Year,Qtr,Rfh/t Dist,Rfh/t P1,Rfh/t P2,Rtac/fh Dist,Rtac/fh P1,Rtac/fh P2,Reot/fh Dist,Reot/fh P1,Reot/fh P2,Rwow/fh Dist,Rwow/fh P1,Rwow/fh P2
101101002,10003,2023,4,Constant,54.24963658984199,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10004,2023,1,Constant,59.296561947683095,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10004,2023,2,Constant,37.931290765152035,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10004,2023,3,Constant,56.89082441782052,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10004,2023,4,Constant,54.24963658984199,0,Constant,1,0,Constant,1,0,Constant,1,0
100101001,10001,2024,1,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101001,10003,2024,1,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101001,10004,2024,1,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101002,10001,2024,1,Constant,21.5,0,Constant,1,0,Constant,1,0,Constant,1,0
100101002,10003,2024,1,Constant,21.5,0,Constant,1,0,Constant,1,0,Constant,1,0
100101002,10004,2024,1,Constant,21.5,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10001,2024,1,Constant,5.285714285714286,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10001,2024,2,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10003,2024,1,Constant,5.285714285714286,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10003,2024,2,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10004,2024,1,Constant,5.285714285714286,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10004,2024,2,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10001,2024,1,Constant,36.366163157581575,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10001,2024,2,Constant,34.097237431460464,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10002,2024,1,Constant,3.0003000300030003,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10003,2024,1,Constant,36.366163157581575,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10003,2024,2,Constant,34.097237431460464,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10004,2024,1,Constant,36.366163157581575,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10004,2024,2,Constant,34.097237431460464,0,Constant,1,0,Constant,1,0,Constant,1,0
100101005,10001,2024,1,Constant,25.81,0,Constant,1,0,Constant,1,0,Constant,1,0
